"RecOrigin","RecFlags","RecVrsn","Manufacturer","Model","SysType","UnitType","ClgCap","HtgCap","PowerCode","Series","MixPipeId","VapPipeId","Height","Width","Depth","Weight","MaxPipeLen","MaxPipeHeight"
"GREE","","2235","GREE","ENV09HP230V1R32AO","H","OS","9100","10500","A","A","0250","0375","22","32","14","71","66","40"
"GREE","","2235","GREE","ENV12HP230V1R32AH","H","IW","12000","12000","A","A","0250","0500","12","33","8","21","66","40"
"GREE","","2235","GREE","ENV12HP230V1R32AO","H","OS","12000","12000","A","A","0250","0500","22","32","14","71","66","40"
"GREE","","2235","GREE","ENV18HP230V1R32AH","H","IW","18000","18000","A","A","0250","0500","12","39","9","30","131","82"
"GREE","","2235","GREE","ENV18HP230V1R32AO","H","OS","18000","18000","A","A","0250","0500","26","38","16","95","131","82"
"GREE","","2235","GREE","ENV24HP230V1R32AH","H","IW","22000","24000","A","A","0250","0625","12","39","9","30","131","82"
"GREE","","2235","GREE","ENV24HP230V1R32AO","H","OS","22000","24000","A","A","0250","0625","29","39","17","104","131","82"
"GREE","","2235","GREE","FLR09HP230V1R32AH","H","IF","9500","10500","A","A","0250","0375","9","34","26","55","131","49"
"GREE","","2235","GREE","FLR12HP230V1R32AH","H","IF","12000","13500","A","A","0250","0375","9","34","26","55","197","49"
"GREE","","2235","GREE","FLR18HP230V1R32AH","H","IF","18000","20000","A","A","0375","0625","9","34","26","56","263","82"
"GREE","","2235","GREE","FLR24HP230V1R32AH","H","IF","24000","27000","A","A","0375","0625","9","47","26","72","263","82"
"GREE","","2235","GREE","FLR30HP230V1R32AH","H","IF","30000","34000","A","A","0375","0625","9","47","26","70","328","82"
"GREE","","2235","GREE","FLR36HP230V1R32AH","H","IF","36000","40000","A","A","0375","0625","9","61","26","92","328","82"
"GREE","","2235","GREE","FSU36HP230V1R32AH","H","IF","36000","40000","A","A","0250","0375","74","23","16","130","328","82"
"GREE","","2235","GREE","GMV-24WL/C-T(U)","H","OM","24000","28000","A","A","0375","0625","31","39","14","176","394","98"
"GREE","","2235","GREE","GMV-28WL/C-T(U)","H","OM","28000","32000","A","A","0375","0625","31","39","14","176","394","98"
"GREE","","2235","GREE","GMV-36WL/C-T(U)","H","OM","37600","42000","A","A","0375","0625","53","35","13","246","492","164"
"GREE","","2235","GREE","GMV-48WL/C-T(U)","H","OM","48000","54000","A","A","0375","0625","53","35","13","246","492","164"
"CARR","","2042","CARR","40MHHAQ09XA1","H","IW","9000","9000","D","A","0250","0375","12","29","8","18","82","32"
"CARR","","2042","CARR","40MHHAQ09XA3","H","IW","9000","10000","A","A","0250","0375","12","29","8","18","82","32"
"CARR","","2042","CARR","40MHHAQ12XA1","H","IW","12000","12000","D","A","0250","0500","12","32","8","19","82","32"
"CARR","","2042","CARR","40MHHAQ12XA3","H","IW","12000","12000","A","A","0250","0500","12","32","8","19","82","32"
